Image Name,Caption
Copy of 19.jpg,"A man in a turban drives an ox-drawn cart across a rural landscape, with a large tree and a stormy sky in the background. "
63.jpg,"A geometric abstract painting with a central motif made of grey and white swirling lines forming a star against a background of vibrant green, blue, yellow and red geometric shapes and colours."
Copy of 20.jpg,"A watercolor painting with a group of people and cattle walk along a dirty path lined in a lush, green forest set in a rural landscape."
CDO.2022.131.jpg,"A man with a beard and a skeleton body is lighting his cigarette and a cage hangs behind him, againts a blue background"
Copy of 27.jpg,"A watercolor painting with a woman in a red blouse and green skirt with her hair in a bun, operating a grinding mill with clothes hanging behind her in a rustic household setting."
18.12.jpg,"A stylized portrait of a man playing a flute, rendered in shades of brown. Two birds with outstretched wings hover above him . The background is a wash of yellow and gold."
15.jpg,"A white goat with brown spots stands on a green field with a green hillside in the background, under a red and orange sky with two small goats under it.
"
CDO.2022.008.jpg,"A circular ceramic plate with a swan painted in earthy tones, including browns, reds, and whites."
Copy of 28.jpg,"A stylized depiction of a couple, against a reddish-yellow background. The woman on the left wears a patterned garment and holds a fan, while the man on the right sits with his back to the viewer, holding a large stalk of wheat
"
Copy of 30.jpg,A stylized depiction of a woman in a red and white patterned outfit holding a flower and a sword. The background is a solid red with white dots done in a traditional Indian style.
Copy of 29.jpg,"A bare-chested man in a red and yellow dhoti, wearing a white turban, holding a farming tool on his shoulder a white and brown oxen walk behind him against a yellow background with red markings."
Copy of 33.jpg,"A watercolor painting depicting a scene from a traditional Indian dance performance. A dancer, is dressed in elaborate costumes surrounded by muscicians in their traditional attire against a simple wash of blue background."
Copy of 44.jpg,"A stylized depiction of a forest scene with a crescent moon, tall black trees, and a small group of figures in the foreground. The background is a rich red, contrasting with the dark silhouettes of the trees
"
Copy of 50.jpg,"An abstract painting with geometric shapes triangles, squares , lines and patterns in shades of brown, gold, and red. The composition is dense and layered, with overlapping forms."
Copy of ACL.11.2022.006.jpg,"A batik painting with a woman seated with a child in her lap. The woman is wearing a green and brown garment and the child is dressed in a pink and red garment. The background is a dark blue. 
"
Copy of 48.jpg,A vibrant painting with a black man dressed in green and red riding a yellow bull. He is holding a drum against a red background  with a green and red design border.
Copy of Alphonso 01.jpg,"A portrait of a woman with a red dot on her forehead and green earrings. She is wearing a yellow and orange dress and her hands are raised to her face, and her eyes are closed. Indian folk art"
Copy of _DSC1090.jpg,"An abstract painting in a cubist style with geometric shapes and blocks of color in shades of blue, red, pink, and white. It consists of overlapping planes and fragmented forms"
Copy of _DSC1110.jpg,An abstract painting dominated by a vibrant red and orange color palette. Geometric shapes and forms are scattered across the canvas and are shaded with black and brown
Copy of _DSC1164.jpg,"An abstract black and white drawing, depicting several figures and objects, some lying down others standing. Artist uses a combination of hatching, cross-hatching"
Copy of _DSC1160.jpg,"An abstract black and white woodcut drawing of a cow standing and a ring and plant and geometric forms against a denser dark patterned background. 
"
Copy of _DSC1108.jpg,"An abstract painting with a red background with black lines slanted in the center, bottom has red-brown colour with white spots. Geometric shapes and figures are layered throughout the composition."
Copy of _DSC1775.jpg,"A blue skinned deity reclines on a gold throne framed by a gold archway with a multi-headed serpent canopy, surrounded by five figures in elaborate attire and jewelry."
